plate	round	well	channel	tile
1	1	A1	A594_1x1	0
1	1	A1	A594_1x1	1
1	1	A1	A594_1x1	2
1	1	A1	A594_1x1	3
1	1	A1	A594_1x1	4
1	1	A1	A594_1x1	5
1	1	A1	A594_1x1	6
1	1	A1	A594_1x1	7
1	1	A1	A594_1x1	8
1	1	A1	A594_1x1	9
1	1	A1	A750_1x1	0
1	1	A1	A750_1x1	1
1	1	A1	A750_1x1	2
1	1	A1	A750_1x1	3
1	1	A1	A750_1x1	4
1	1	A1	A750_1x1	5
1	1	A1	A750_1x1	6
1	1	A1	A750_1x1	7
1	1	A1	A750_1x1	8
1	1	A1	A750_1x1	9
1	1	A1	DAPI_1x1	0
1	1	A1	DAPI_1x1	1
1	1	A1	DAPI_1x1	2
1	1	A1	DAPI_1x1	3
1	1	A1	DAPI_1x1	4
1	1	A1	DAPI_1x1	5
1	1	A1	DAPI_1x1	6
1	1	A1	DAPI_1x1	7
1	1	A1	DAPI_1x1	8
1	1	A1	DAPI_1x1	9
1	1	A1	GFP_1x1	0
1	1	A1	GFP_1x1	1
1	1	A1	GFP_1x1	2
1	1	A1	GFP_1x1	3
1	1	A1	GFP_1x1	4
1	1	A1	GFP_1x1	5
1	1	A1	GFP_1x1	6
1	1	A1	GFP_1x1	7
1	1	A1	GFP_1x1	8
1	1	A1	GFP_1x1	9
