sample_fp	plate	well	round	channel
/archive/cheeseman/ops_data/baker/input_ph/plate_1/round_1/WellA1_ChannelA594_1x1_LF_Seq0001.nd2	1	A1	1	A594_1x1
/archive/cheeseman/ops_data/baker/input_ph/plate_1/round_1/WellA1_ChannelA750_1x1_LF_Seq0000.nd2	1	A1	1	A750_1x1
/archive/cheeseman/ops_data/baker/input_ph/plate_1/round_1/WellA1_ChannelDAPI_1x1_LF_Seq0003.nd2	1	A1	1	DAPI_1x1
/archive/cheeseman/ops_data/baker/input_ph/plate_1/round_1/WellA1_ChannelGFP_1x1_LF_Seq0002.nd2	1	A1	1	GFP_1x1
/archive/cheeseman/ops_data/baker/input_ph/plate_1/round_1/WellA2_ChannelA594_1x1_LF_Seq0005.nd2	1	A2	1	A594_1x1
/archive/cheeseman/ops_data/baker/input_ph/plate_1/round_1/WellA2_ChannelA750_1x1_LF_Seq0004.nd2	1	A2	1	A750_1x1
/archive/cheeseman/ops_data/baker/input_ph/plate_1/round_1/WellA2_ChannelDAPI_1x1_LF_Seq0007.nd2	1	A2	1	DAPI_1x1
/archive/cheeseman/ops_data/baker/input_ph/plate_1/round_1/WellA2_ChannelGFP_1x1_LF_Seq0006.nd2	1	A2	1	GFP_1x1
/archive/cheeseman/ops_data/baker/input_ph/plate_1/round_1/WellA3_ChannelA594_1x1_LF_Seq0009.nd2	1	A3	1	A594_1x1
/archive/cheeseman/ops_data/baker/input_ph/plate_1/round_1/WellA3_ChannelA750_1x1_LF_Seq0008.nd2	1	A3	1	A750_1x1
/archive/cheeseman/ops_data/baker/input_ph/plate_1/round_1/WellA3_ChannelDAPI_1x1_LF_Seq0011.nd2	1	A3	1	DAPI_1x1
/archive/cheeseman/ops_data/baker/input_ph/plate_1/round_1/WellA3_ChannelGFP_1x1_LF_Seq0010.nd2	1	A3	1	GFP_1x1
/archive/cheeseman/ops_data/baker/input_ph/plate_1/round_1/WellB1_ChannelA594_1x1_LF_Seq0021.nd2	1	B1	1	A594_1x1
/archive/cheeseman/ops_data/baker/input_ph/plate_1/round_1/WellB1_ChannelA750_1x1_LF_Seq0020.nd2	1	B1	1	A750_1x1
/archive/cheeseman/ops_data/baker/input_ph/plate_1/round_1/WellB1_ChannelDAPI_1x1_LF_Seq0023.nd2	1	B1	1	DAPI_1x1
/archive/cheeseman/ops_data/baker/input_ph/plate_1/round_1/WellB1_ChannelGFP_1x1_LF_Seq0022.nd2	1	B1	1	GFP_1x1
/archive/cheeseman/ops_data/baker/input_ph/plate_1/round_1/WellB2_ChannelA594_1x1_LF_Seq0017.nd2	1	B2	1	A594_1x1
/archive/cheeseman/ops_data/baker/input_ph/plate_1/round_1/WellB2_ChannelA750_1x1_LF_Seq0016.nd2	1	B2	1	A750_1x1
/archive/cheeseman/ops_data/baker/input_ph/plate_1/round_1/WellB2_ChannelDAPI_1x1_LF_Seq0019.nd2	1	B2	1	DAPI_1x1
/archive/cheeseman/ops_data/baker/input_ph/plate_1/round_1/WellB2_ChannelGFP_1x1_LF_Seq0018.nd2	1	B2	1	GFP_1x1
/archive/cheeseman/ops_data/baker/input_ph/plate_1/round_1/WellB3_ChannelA594_1x1_LF_Seq0013.nd2	1	B3	1	A594_1x1
/archive/cheeseman/ops_data/baker/input_ph/plate_1/round_1/WellB3_ChannelA750_1x1_LF_Seq0012.nd2	1	B3	1	A750_1x1
/archive/cheeseman/ops_data/baker/input_ph/plate_1/round_1/WellB3_ChannelDAPI_1x1_LF_Seq0015.nd2	1	B3	1	DAPI_1x1
/archive/cheeseman/ops_data/baker/input_ph/plate_1/round_1/WellB3_ChannelGFP_1x1_LF_Seq0014.nd2	1	B3	1	GFP_1x1
